gen,reward
0,-86.59787210598117
1,-80.58581414392563
2,-83.26973173797387
3,-77.72580791101791
4,-78.11318261324234
5,-70.44265516532417
6,-74.15393510519358
7,-79.40394432308426
8,-66.68730467670838
9,-72.22525906431737
10,-73.21698810172911
11,-79.79251653708312
12,-76.5479225363434
13,-71.32537768604617
14,-70.8053699061397
15,-65.1171277939099
16,-75.82436031170033
17,-73.50057628656683
18,-72.21432402127994
19,-65.82794144258516
20,-60.43371602730966
21,-67.38241557833794
22,-68.53881805400155
23,-73.69031595898903
24,-65.0742580154922
25,-69.16512701054424
26,-56.398580675160666
27,-58.461211772812774
28,-35.32527110579394
29,-49.7725771350207
30,-50.921419173377025
31,-45.82589264819508
32,-58.39443341134268
33,-37.322588494399675
34,-22.086011032091747
35,-32.814006991763925
36,-49.567398974648995
37,-39.938662084281006
38,-33.674162561784094
39,-26.848409096645995
40,-23.40716761010655
41,-21.164953845472397
42,-3.118628629027686
43,-0.6414318392442802
44,-18.926721786912122
45,-18.179119965178984
46,-24.6485380723842
47,-12.654819924145789
48,42.37508484219277
49,9.211902249480907
50,32.78776192702377
51,-22.749384985522617
52,36.48110021115699
53,15.700026432708766
54,32.60393944497446
55,29.021764403573837
56,33.73886089940808
57,36.0274217232768
58,97.89938350136244
59,69.66234779334238
60,59.45486768452459
61,63.33811624395436
62,69.40737469886858
63,65.08827902319588
64,54.927284287918184
65,110.30525462399358
66,40.09209288729927
67,35.63983897864677
68,34.33154897786244
69,54.33867466194646
70,82.41577662332907
71,89.75913390799285
72,59.01213989907472
73,63.604966734249174
74,81.10567102631632
75,83.61411688810742
76,98.71622652926342
77,88.40563030395695
78,82.98939058500925
79,40.47727939652418
80,106.33503525758215
81,134.20068660456553
82,69.79967497940238
83,86.41686423020471
84,88.64411872574819
85,112.64614885441165
86,79.3498933996665
87,75.99925913078494
88,118.13918628103855
89,90.80367941094482
90,116.62244745612902
91,99.13620251840545
92,123.78005775727698
93,113.97536419071298
94,121.19290016054849
95,110.96186516448644
96,121.67229491226152
97,107.68859926453769
98,103.14807418068474
99,108.95080398098905
100,126.38519433494078
101,136.90527231764065
102,144.98824486522324
103,114.21116958686372
104,137.5997969155069
105,155.72275601991728
106,184.01997582101566
107,125.19718106377073
108,139.61645365425773
109,142.6885473424017
110,173.05694572595502
111,175.958854903739
112,151.7319587038444
113,170.74708665396201
114,196.27538807477555
115,155.0922444789452
116,143.790807248422
117,183.13376208988842
118,219.65657298432473
119,145.72980123919177
120,167.84891939011132
121,166.45427402115146
122,180.7112512107631
123,240.67474822153494
124,179.54182751956586
125,197.7549676681558
126,187.80116365155183
127,242.04999015878366
128,140.66566033492063
129,201.94281697637734
130,189.89907470383685
131,187.35300996317523
132,300.49620957349777
133,247.4383708463746
134,154.12622577274436
135,255.04038770062584
136,226.81612918582317
137,241.47755375755537
138,191.27468658875483
139,240.02840496151066
140,255.03023544575979
141,222.80206951561516
142,294.85742775561187
143,163.36521525156152
144,299.73228497378705
145,257.90588476838394
146,223.764068903924
147,214.6613215422197
148,222.94766151523288
149,287.89601166464774
150,255.38847453771922
151,197.99601864492323
152,274.35953880774383
153,217.00780956739857
154,239.70029692018977
155,204.520762475293
156,243.49505982588738
157,232.36702847234787
158,272.96529671227756
159,292.29307335423175
160,229.63013914250834
161,220.55296383851282
162,210.31800381512375
163,291.75367572741953
164,228.47838353443524
165,257.7355000392393
166,276.57703991286553
167,314.15701996908336
168,302.6696362331602
169,297.5715147022254
170,309.3477990167073
171,326.98875011051024
172,216.29994133843195
173,281.4536797954987
174,284.5912820317463
175,292.9489021670779
176,354.1872802781232
177,296.6868217732941
178,286.832534534502
179,399.13393281357526
180,329.46306909561235
181,326.9151063689727
182,356.7872175274545
183,368.48981666303456
184,339.7009917159455
185,272.7795357471308
186,214.63008640323378
187,273.98830808662825
188,295.459692904426
189,340.36923074088304
190,255.21237892999937
191,271.48539860959045
192,300.6396770795775
193,248.61059730830578
194,225.94005864733504
195,317.52251443585743
196,238.26659574028196
197,253.5057937106642
198,265.30012842757714
199,290.79088639145334
200,271.9833678358193
201,214.08409493842458
202,324.10868781977456
203,277.6079507104906
204,306.23995761697785
205,279.49888964384365
206,310.9419765790362
207,315.47777231357935
208,272.3174490502019
209,268.8408874837995
210,223.1440666606556
211,305.98362401792724
212,303.10804151867274
213,306.83441788747336
214,288.04475190089335
215,318.5599603782969
216,326.4243694818711
217,324.25846409693713
218,318.7681162319625
219,307.0364118501382
220,293.64959787842065
221,257.2936901675204
222,270.0970779249098
223,335.30103672756593
224,249.32979000513706
225,333.0936045798869
226,327.49335681569244
227,259.69891846924065
228,349.63284721952755
229,357.05841364824005
230,338.8716360187028
231,330.41852583217735
232,180.87328610561707
233,344.8443176554739
234,334.32758634481917
235,342.69884081195295
236,310.8498687314491
237,321.6155344177143
238,356.7193238509911
239,314.31899491131605
240,346.83227527297765
241,310.11378053577357
242,392.5038426510659
243,351.8306900135552
244,286.77183272170635
245,377.19865475319546
246,265.98454476612085
247,309.176266537488
248,331.4093382391193
249,385.225343646113
250,344.6315152382694
251,329.7088185889827
252,280.26653535548775
253,307.2487528430033
254,288.22489880906767
255,259.4916199711065
256,367.15566975837146
257,354.24012839490865
258,407.7124326837566
259,397.63256387813425
260,354.00953003225754
261,367.97004862256716
262,385.35975077914827
263,343.5056025381718
264,370.8971454861247
265,365.97064005690754
266,338.7778118423121
267,353.7693271102412
268,372.0909388836076
269,384.8351655952035
270,394.6375594236457
271,398.12810709063905
272,370.1249598866674
273,382.49138521352603
274,393.1611596285087
275,391.3166016986775
276,384.6759329225246
277,357.08293212249174
278,506.81965097976246
279,379.2189224980201
280,402.52916794908805
281,294.8805436916177
282,430.4999006064354
283,397.2533112136605
284,404.62035953806463
285,416.7984736495853
286,420.08527195512227
287,432.89000713160954
288,389.72754670376924
289,402.1340580342577
290,381.2151040746592
291,385.2486802273902
292,357.812406244548
293,360.74453220843094
294,356.03040233977777
295,384.80197578988776
296,387.24609091530004
297,378.58200236370726
298,460.0421762620548
299,355.3882639002254
300,396.46665973557344
301,407.26136277487785
302,284.5457444964534
303,350.3832427818803
304,398.1225353430641
305,457.32326601054814
306,410.5340889250809
307,412.33011741406375
308,395.22688222075124
309,382.270188423719
310,354.12110188950544
311,339.54326294641794
312,360.1833539368529
313,404.1232546643056
314,422.9930940903614
315,386.4569731341078
316,266.50522498303826
317,438.5929034525185
318,416.7756275330788
319,392.4372846865531
320,379.8002486018851
321,435.454258967113
322,342.11016672563255
323,256.3133473722484
324,389.600832562126
325,281.2391856221897
326,468.1253104279218
327,405.0725301680841
328,385.17242216561647
329,431.02141229763527
330,328.94234209708804
331,356.4307529720895
332,373.13474205824866
333,306.2006903762126
334,366.13114705327996
335,401.67746868672066
336,257.5879447779947
337,339.00593613700414
338,349.8572959294091
339,372.9617411144327
340,390.4201915562724
341,289.33948092845264
342,301.0675664752711
343,492.6475765865423
344,428.9100132867062
345,381.5200539189268
346,422.05193137081477
347,415.10425675458555
348,346.45320587137917
349,353.3270705732024
350,437.37573828806774
351,478.9364445406261
352,459.21671195924273
353,366.6905077723477
354,437.09942781457704
355,444.5204781040389
356,407.6395541136943
357,317.54475606057264
358,366.6112320812995
359,388.12782565602873
360,415.3513853099961
361,400.64954133549395
362,442.43565691479427
363,446.65037517420785
364,386.1020455263415
365,379.4829519116298
366,385.8050124950295
367,322.8403536680637
368,398.7364271619037
369,380.4248523986888
370,475.6292545382454
371,391.30308362583907
372,550.821320452781
373,368.7378693748738
374,377.3412477815467
375,384.5410590670466
376,376.3548966768588
377,444.6365649593389
378,359.9743867953254
379,375.82922127126744
380,412.10286992993395
381,471.9101559873192
382,478.80470404185496
383,321.8201770459426
384,397.1623926194827
385,437.59582930979684
386,342.2449838867178
387,401.31796266011054
388,350.87147524394334
389,419.0531092243225
390,402.93675186781627
391,422.08957537384083
392,385.71864795375274
393,423.97531981646614
394,336.4751732820314
395,508.88700993077487
396,468.1994946187628
397,429.1157202891103
398,444.0551930443844
399,405.7402380022352
400,458.63322014423767
401,438.2449369523533